date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:08	365/365	---MCZ	200	added ('OK')	text/plain	date:Wed,%2021%20Jun%202017%2013:44:07%20GMT	https://arindamchat.wordpress.com/robots.txt		(from )
15:44:08	49262/49262	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:08%20GMT	https://arindamchat.wordpress.com/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/index.html	(from )
15:44:08	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2021%20Jun%202017%2013:44:08%20GMT	https://arindamchat.wordpress.com/xmlrpc.php	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/xmlrpc.php	(from https://arindamchat.wordpress.com/)
15:44:08	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%2258674300-1f6c%22	https://s0.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h	C:/My%20Web%20Sites/aaaaa/s0.wp.com/wp-content/mu-plugins/global-print/global-print6805.css	(from https://arindamchat.wordpress.com/)
15:44:08	354085/354085	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2019%20May%202017%2005:48:42%20GMT	https://arindamchat.wordpress.com/feed/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/feed/index.html	(from https://arindamchat.wordpress.com/)
15:44:08	20606/20606	---MCZ	200	added ('OK')	text/css	etag:W/%2257391252-637d%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1377793621h	C:/My%20Web%20Sites/aaaaa/s1.wp.com/wp-content/mu-plugins/highlander-comments/style0196.css	(from https://arindamchat.wordpress.com/)
15:44:08	5208/5208	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d65eaca044497befebed804b9b0d5d09%22	https://arindamchat.wordpress.com/comments/feed/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/comments/feed/index.html	(from https://arindamchat.wordpress.com/)
15:44:09	880/880	---MCZ	200	added ('OK')	text/xml	date:Wed,%2021%20Jun%202017%2013:44:09%20GMT	https://arindamchat.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/xmlrpc0db0.php	(from https://arindamchat.wordpress.com/)
15:44:09	14410/14410	---MCZ	200	added ('OK')	text/css	etag:W/%2258db9921-384a%22	https://s2.wp.com/_static/??/wp-content/mu-plugins/actionbar/actionbar.css,/wp-content/themes/h4/global.css?m=1490786585j	C:/My%20Web%20Sites/aaaaa/s2.wp.com/_static/index1331.html	(from https://arindamchat.wordpress.com/)
15:44:09	1752/1752	---MCZ	200	added ('OK')	application/xml	date:Wed,%2021%20Jun%202017%2013:44:09%20GMT	https://arindamchat.wordpress.com/osd.xml	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/osd.xml	(from https://arindamchat.wordpress.com/)
15:44:09	24/24	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:09%20GMT	https://arindamchat.wordpress.com/?openidserver=1	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/indexdd8f.html	(from https://arindamchat.wordpress.com/)
15:44:09	379843/379843	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jul%202016%2015:57:45%20GMT	https://defaultcustomheadersdata.files.wordpress.com/2016/07/blur.jpg?resize=1080,500	C:/My%20Web%20Sites/aaaaa/defaultcustomheadersdata.files.wordpress.com/2016/07/blurc41b.jpg	(from https://arindamchat.wordpress.com/)
15:44:11	20650/20650	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255faca7a-50aa%22	http://0.gravatar.com/js/gprofiles.js?ver=201725y	C:/My%20Web%20Sites/aaaaa/0.gravatar.com/js/gprofiles12f0.js	(from https://arindamchat.wordpress.com/)
15:44:11	30676/30676	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:10%20GMT	https://arindamchat.wordpress.com/category/fast/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/fast/index.html	(from https://arindamchat.wordpress.com/)
15:44:11	34258/34258	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:10%20GMT	https://arindamchat.wordpress.com/category/azure/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/azure/index.html	(from https://arindamchat.wordpress.com/)
15:44:11	46766/46766	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:10%20GMT	https://arindamchat.wordpress.com/category/sharepoint/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/sharepoint/index.html	(from https://arindamchat.wordpress.com/)
15:44:12	582/582	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258674607-2f0%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/My%20Web%20Sites/aaaaa/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://arindamchat.wordpress.com/)
15:44:12	46558/46558	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:12%20GMT	https://arindamchat.wordpress.com/category/sharepoint/sharepoint-2013/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/sharepoint/sharepoint-2013/index.html	(from https://arindamchat.wordpress.com/)
15:44:12	35385/35385	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:12%20GMT	https://arindamchat.wordpress.com/category/sharepoint/sharepoint-2016/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/sharepoint/sharepoint-2016/index.html	(from https://arindamchat.wordpress.com/)
15:44:12	22850/22850	---MCZ	200	added ('OK')	text/css	etag:W/%22584efce5-6458%22	https://s1.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel.css?m=1481571546h	C:/My%20Web%20Sites/aaaaa/s1.wp.com/wp-content/mu-plugins/carousel/jetpack-carouselaccd.css	(from https://arindamchat.wordpress.com/)
15:44:12	46889/46889	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:12%20GMT	https://arindamchat.wordpress.com/category/sharepoint/sharepoint-2010/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/sharepoint/sharepoint-2010/index.html	(from https://arindamchat.wordpress.com/)
15:44:12	1323/1323	---MCZ	200	added ('OK')	text/css	etag:W/%2258674302-950%22	https://s1.wp.com/wp-content/mu-plugins/tiled-gallery/tiled-gallery.css?m=1443731146h	C:/My%20Web%20Sites/aaaaa/s1.wp.com/wp-content/mu-plugins/tiled-gallery/tiled-galleryf830.css	(from https://arindamchat.wordpress.com/)
15:44:12	116018/116018	---M--	200	added ('OK')	application/javascript	etag:%22e8b8788154c5553636b09b0174df5304%22	https://platform.twitter.com/widgets.js?ver=20111117	C:/My%20Web%20Sites/aaaaa/platform.twitter.com/widgets4443.js	(from https://arindamchat.wordpress.com/)
15:44:13	30650/30650	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:13%20GMT	https://arindamchat.wordpress.com/category/net/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/net/index.html	(from https://arindamchat.wordpress.com/)
15:44:13	1755/1755	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2021%20Jun%202017%2013:44:13%20GMT	https://arindamchat.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://arindamchat.wordpress.com/)
15:44:13	30848/30848	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:13%20GMT	https://arindamchat.wordpress.com/category/net/smart-client/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/net/smart-client/index.html	(from https://arindamchat.wordpress.com/)
15:44:13	58874/58874	---M-Z	200	added ('OK')	application/javascript	etag:%222d82942856a1c5257870c953e3773c52%22	https://s.skimresources.com/js/725X1342.skimlinks.js	C:/My%20Web%20Sites/aaaaa/s.skimresources.com/js/725X1342.skimlinks.js	(from https://arindamchat.wordpress.com/)
15:44:13	30857/30857	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:13%20GMT	https://arindamchat.wordpress.com/category/net/click-once/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/category/net/click-once/index.html	(from https://arindamchat.wordpress.com/)
15:44:15	11774/11774	---MC-	200	added ('OK')	application/x-javascript	etag:W/%225890f68b-405c%22	http://stats.wp.com/w.js?56	C:/My%20Web%20Sites/aaaaa/stats.wp.com/w9f61.js	(from https://arindamchat.wordpress.com/)
15:44:15	36803/36803	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:14%20GMT	https://arindamchat.wordpress.com/zabout-me/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/zabout-me/index.html	(from https://arindamchat.wordpress.com/)
15:44:15	47596/47596	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:14%20GMT	https://arindamchat.wordpress.com/author/arindach/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/author/arindach/index.html	(from https://arindamchat.wordpress.com/)
15:44:15	128461/128461	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202017%2013:44:14%20GMT	https://arindamchat.wordpress.com/2017/05/15/deploy-asp-net-mvc5-grid-view-application-to-azure-app-service/	C:/My%20Web%20Sites/aaaaa/arindamchat.wordpress.com/2017/05/15/deploy-asp-net-mvc5-grid-view-application-to-azure-app-service/index.html	(from https://arindamchat.wordpress.com/)
15:44:15	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Jun%202017%2013:44:15%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/My%20Web%20Sites/aaaaa/pixel.wp.com/b0b80.gif	(from https://arindamchat.wordpress.com/)
